Rank,Country,US$
1,Luxembourg,101994
2,Switzerland,80603
3,Norway,74598
4,Qatar,68940
5,Ireland,61206
6,United States,56084
7,Singapore,52888
8,Denmark,52139
9,Australia,51181
10,Iceland,50277
11,Sweden,50050
12,San Marino,49615
13,United Kingdom,43902
14,Austria,43724
15,Netherlands,43603
16,Canada,43413
17,Finland,42413
—,Hong Kong,42295
18,Germany,40952
19,Belgium,40529
20,United Arab Emirates,38650
21,France,37653
22,New Zealand,37066
23,Israel,35743
24,Japan,32479
25,Brunei,30993
26,Italy,29867
—,Puerto Rico,29620
27,Kuwait,27756
28,South Korea,27222
29,Spain,26823
30,Bahamas,24310
31,Bahrain,24058
32,Cyprus,22822
33,Malta,22713
34,Taiwan,22263
35,Slovenia,20747
36,Saudi Arabia,20583
37,Portugal,19117
38,Trinidad and Tobago,18143
39,Greece,17988
40,Czech Republic,17570
41,Estonia,17288
42,Equatorial Guinea,17287
43,Oman,16699
44,Saint Kitts and Nevis,16459
45,Palau,16070
46,Slovakia,15979
47,Barbados,15677
48,Uruguay,15547
49,Seychelles,14776
50,Argentina,14617
51,Lithuania,14180
52,Antigua and Barbuda,14100
53,Latvia,13573
54,Chile,13341
55,Panama,13013
56,Poland,12492
57,Hungary,12492
58,Croatia,11573
59,Lebanon,11157
60,Costa Rica,10905
61,Kazakhstan,10426
—,World[7],10136
62,Malaysia,9501
63,Mexico,9452
64,Russia,9243
65,Suriname,9231
66,Grenada,9222
67,Turkey,9186
68,Mauritius,9142
69,Maldives,8969
70,Romania,8956
71,Brazil,8670
72,Venezuela,8494
73,Saint Lucia,8277
74,China,8141
75,Gabon,7692
76,Dominica,7312
77,Bulgaria,6843
78,Botswana,6771
79,Dominican Republic,6733
80,Saint Vincent and the Grenadines,6706
81,Turkmenistan,6655
82,Montenegro,6409
83,Libya,6276
84,Ecuador,6196
85,Peru,6167
86,Colombia,6060
87,Belarus,5749
88,Thailand,5742
89,Azerbaijan,5739
90,South Africa,5727
91,Serbia,5120
92,Jamaica,5053
93,Namibia,5041
94,Micronesia,4935
95,Fiji,4926
96,Iran,4907
97,Macedonia Republic of,4871
98,Belize,4785
99,Iraq,4696
100,Samoa,4341
101,El Salvador,4219
102,Algeria,4175
103,Bosnia and Herzegovina,4140
104,Guyana,4125
105,Tonga,4110
106,Paraguay,4102
107,Jordan,3976
108,Mongolia,3946
109,Albania,3945
110,Tunisia,3923
111,Guatemala,3922
112,Sri Lanka,3849
113,Georgia,3754
114,Egypt,3710
115,Swaziland,3597
116,Armenia,3521
117,Marshall Islands,3380
118,Indonesia,3362
119,Bolivia,3099
120,Angola,3073
121,Cape Verde,3056
122,Tuvalu,3015
123,Philippines,3002
124,Morocco,2862
125,Nigeria,2763
126,Vanuatu,2747
127,Papua New Guinea,2745
128,Bhutan,2590
129,Honduras,2530
130,East Timor,2244
131,Sudan,2119
132,Ukraine,2125
133,Uzbekistan,2115
134,Vietnam,2088
135,Congo Republic of the,2024
136,Nicaragua,2024
137,Moldova,1821
138,Djibouti,1788
139,Laos,1787
140,Solomon Islands,1657
141,India,1604
142,Sao Tome and Principe,1569
143,Kenya,1434
144,Pakistan,1428
145,Kiribati,1410
146,Ghana,1402
147,Zambia,1352
148,Yemen,1334
149,C?te d'Ivoire,1325
150,Mauritania,1312
151,Bangladesh,1292
152,Cameroon,1256
153,Myanmar,1212
154,Cambodia,1144
155,Kyrgyzstan,1113
156,Lesotho,1057
157,Zimbabwe,1002
158,Chad,943
159,Tanzania,942
160,Tajikistan,922
161,Senegal,913
162,Nepal,805
163,Mali,802
164,South Sudan,785
165,Benin,780
166,Haiti,751
167,Comoros,736
168,Rwanda,732
169,Eritrea,695
170,Ethiopia,687
171,Sierra Leone,659
172,Uganda,620
173,Burkina Faso,615
174,Afghanistan,600
175,Guinea-Bissau,595
176,Togo,569
177,Guinea,542
178,Mozambique,535
179,Congo Democratic Republic of the,476
180,Liberia,474
181,Gambia The,451
182,Niger,405
183,Madagascar,402
184,Malawi,354
185,Central African Republic,335
186,Burundi,306
